"Path","Line","TableOrObject","AccessType","OwningFeature","ReplacementTarget","EstimatedComplexity","Snippet"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","145","dance_sell_jobs","reference","dance_sell","dance_sell_jobs","low","""""07_extend_dance_sell_jobs.sql"""","
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","194","todox_ai_operation_billing_transactions","reference","dance_sell","billing.ai_billing_records / token_transactions","high","Assert.Contains(""""todox_ai_operation_billing_transactions"""", harden);"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","195","dance_sell_provider_operations","reference","dance_sell","render.render_jobs + billing.ai_provider_attempts + usage log","high","Assert.Contains(""""dance_sell_provider_operations_status_ck"""", harden);"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","196","dance_sell_provider_operations","reference","dance_sell","render.render_jobs + billing.ai_provider_attempts + usage log","high","Assert.Contains(""""dance_sell_provider_operations_usage_unit_ck"""", harden);"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","197","dance_sell_reference_versions","reference","dance_sell","dance_sell_reference_versions","low","Assert.Contains(""""dance_sell_reference_versions"""", verify);"
"docs\dance-sell-hardening-result.md","57","todox_ai_operation_billing_transactions","reference","dance_sell","billing.ai_billing_records / token_transactions","high","- Them bang audit `public.todox_ai_operation_billing_transactions`."
"database\V008_Render_Jobs_Queue_Ready.sql","2","render_jobs","read","render","render_jobs","low","-- V008_Render_Jobs_Queue_Ready.sql"
"database\V008_Render_Jobs_Queue_Ready.sql","10","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE TABLE IF NOT EXISTS render.render_jobs ("
"database\V008_Render_Jobs_Queue_Ready.sql","29","render_jobs","write-or-ddl","render","render_jobs","medium","retry_of_job_id      uuid REFERENCES render.render_jobs(id) ON DELETE SET NULL,"
"database\V008_Render_Jobs_Queue_Ready.sql","44","render_jobs","reference","render","render_jobs","low","CONSTRAINT ck_render_jobs_status CHECK ("
"database\V008_Render_Jobs_Queue_Ready.sql","47","render_jobs","reference","render","render_jobs","low","CONSTRAINT ck_render_jobs_point_status CHECK ("
"database\V008_Render_Jobs_Queue_Ready.sql","50","render_jobs","reference","render","render_jobs","low","CONSTRAINT ck_render_jobs_job_type CHECK (length(trim(job_type)) > 0),"
"database\V008_Render_Jobs_Queue_Ready.sql","51","render_jobs","reference","render","render_jobs","low","CONSTRAINT ck_render_jobs_attempts CHECK (attempt_count >= 0 AND max_attempts >= 1)"
"database\V008_Render_Jobs_Queue_Ready.sql","54","render_job_events","write-or-ddl","render","render_job_events","medium","CREATE TABLE IF NOT EXISTS render.render_job_events ("
"database\V008_Render_Jobs_Queue_Ready.sql","56","render_jobs","write-or-ddl","render","render_jobs","medium","job_id         uuid NOT NULL REFERENCES render.render_jobs(id) ON DELETE CASCADE,"
"database\V008_Render_Jobs_Queue_Ready.sql","65","render_job_events","reference","render","render_job_events","low","CONSTRAINT ck_render_job_events_level CHECK (level IN ('debug', 'info', 'warning', 'error'))"
"database\V008_Render_Jobs_Queue_Ready.sql","71","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS tenant_id uuid REFERENCES system.tenants(id);"
"database\V008_Render_Jobs_Queue_Ready.sql","72","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS user_id uuid REFERENCES auth.app_users(id) ON DELETE SET NULL;"
"database\V008_Render_Jobs_Queue_Ready.sql","73","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS customer_id uuid REFERENCES crm.customers(id) ON DELETE SET NULL;"
"database\V008_Render_Jobs_Queue_Ready.sql","74","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS job_type varchar(80) NOT NULL DEFAULT 'unknown';"
"database\V008_Render_Jobs_Queue_Ready.sql","75","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS status varchar(40) NOT NULL DEFAULT 'queued';"
"database\V008_Render_Jobs_Queue_Ready.sql","76","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS priority integer NOT NULL DEFAULT 100;"
"database\V008_Render_Jobs_Queue_Ready.sql","77","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS worker_key varchar(120);"
"database\V008_Render_Jobs_Queue_Ready.sql","78","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS lock_owner varchar(120);"
"database\V008_Render_Jobs_Queue_Ready.sql","79","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS lock_until timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","80","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS input_json jsonb NOT NULL DEFAULT '{}'::jsonb;"
"database\V008_Render_Jobs_Queue_Ready.sql","81","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS prompt_json jsonb NOT NULL DEFAULT '{}'::jsonb;"
"database\V008_Render_Jobs_Queue_Ready.sql","82","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS reference_json jsonb NOT NULL DEFAULT '[]'::jsonb;"
"database\V008_Render_Jobs_Queue_Ready.sql","83","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS output_json jsonb NOT NULL DEFAULT '[]'::jsonb;"
"database\V008_Render_Jobs_Queue_Ready.sql","84","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS log_code varchar(20);"
"database\V008_Render_Jobs_Queue_Ready.sql","85","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS error_code varchar(80);"
"database\V008_Render_Jobs_Queue_Ready.sql","86","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS error_message text;"
"database\V008_Render_Jobs_Queue_Ready.sql","87","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS cancel_reason text;"
"database\V008_Render_Jobs_Queue_Ready.sql","88","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS retry_of_job_id uuid REFERENCES render.render_jobs(id) ON DELETE SET NULL;"
"database\V008_Render_Jobs_Queue_Ready.sql","89","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS attempt_count integer NOT NULL DEFAULT 0;"
"database\V008_Render_Jobs_Queue_Ready.sql","90","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS max_attempts integer NOT NULL DEFAULT 1;"
"database\V008_Render_Jobs_Queue_Ready.sql","91","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS retry_after timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","92","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS point_cost_estimate numeric NOT NULL DEFAULT 0;"
"database\V008_Render_Jobs_Queue_Ready.sql","93","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS point_cost_charged numeric NOT NULL DEFAULT 0;"
"database\V008_Render_Jobs_Queue_Ready.sql","94","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS point_status varchar(40) NOT NULL DEFAULT 'not_required';"
"database\V008_Render_Jobs_Queue_Ready.sql","95","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS provider_code varchar(80);"
"database\V008_Render_Jobs_Queue_Ready.sql","96","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS model_code varchar(120);"
"database\V008_Render_Jobs_Queue_Ready.sql","97","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS queued_at timestamptz NOT NULL DEFAULT now();"
"database\V008_Render_Jobs_Queue_Ready.sql","98","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS started_at timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","99","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS completed_at timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","100","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS cancelled_at timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","101","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS created_at timestamptz NOT NULL DEFAULT now();"
"database\V008_Render_Jobs_Queue_Ready.sql","102","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_jobs ADD COLUMN IF NOT EXISTS updated_at timestamptz;"
"database\V008_Render_Jobs_Queue_Ready.sql","104","render_jobs","write-or-ddl","render","render_jobs","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS job_id uuid REFERENCES render.render_jobs(id) ON DELETE CASCADE;"
"database\V008_Render_Jobs_Queue_Ready.sql","104","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS job_id uuid REFERENCES render.render_jobs(id) ON DELETE CASCADE;"
"database\V008_Render_Jobs_Queue_Ready.sql","105","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS tenant_id uuid REFERENCES system.tenants(id);"
"database\V008_Render_Jobs_Queue_Ready.sql","106","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS event_type varchar(80) NOT NULL DEFAULT 'UNKNOWN';"
"database\V008_Render_Jobs_Queue_Ready.sql","107","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS level varchar(20) NOT NULL DEFAULT 'info';"
"database\V008_Render_Jobs_Queue_Ready.sql","108","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS message text;"
"database\V008_Render_Jobs_Queue_Ready.sql","109","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS data_json jsonb NOT NULL DEFAULT '{}'::jsonb;"
"database\V008_Render_Jobs_Queue_Ready.sql","110","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS provider_code varchar(80);"
"database\V008_Render_Jobs_Queue_Ready.sql","111","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS model_code varchar(120);"
"database\V008_Render_Jobs_Queue_Ready.sql","112","render_job_events","write-or-ddl","render","render_job_events","medium","ALTER TABLE render.render_job_events ADD COLUMN IF NOT EXISTS created_at timestamptz NOT NULL DEFAULT now();"
"database\V008_Render_Jobs_Queue_Ready.sql","114","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_tenant_status"
"database\V008_Render_Jobs_Queue_Ready.sql","115","render_jobs","reference","render","render_jobs","low","ON render.render_jobs(tenant_id, status, priority, queued_at);"
"database\V008_Render_Jobs_Queue_Ready.sql","117","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_claim"
"database\V008_Render_Jobs_Queue_Ready.sql","118","render_jobs","reference","render","render_jobs","low","ON render.render_jobs(status, retry_after, priority, queued_at)"
"database\V008_Render_Jobs_Queue_Ready.sql","121","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_locked"
"database\V008_Render_Jobs_Queue_Ready.sql","122","render_jobs","reference","render","render_jobs","low","ON render.render_jobs(lock_until)"
"database\V008_Render_Jobs_Queue_Ready.sql","125","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_user_created"
"database\V008_Render_Jobs_Queue_Ready.sql","126","render_jobs","write-or-ddl","render","render_jobs","medium","ON render.render_jobs(user_id, created_at DESC);"
"database\V008_Render_Jobs_Queue_Ready.sql","128","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_customer_created"
"database\V008_Render_Jobs_Queue_Ready.sql","129","render_jobs","write-or-ddl","render","render_jobs","medium","ON render.render_jobs(customer_id, created_at DESC);"
"database\V008_Render_Jobs_Queue_Ready.sql","131","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_log_code"
"database\V008_Render_Jobs_Queue_Ready.sql","132","render_jobs","write-or-ddl","render","render_jobs","medium","ON render.render_jobs(log_code)"
"database\V008_Render_Jobs_Queue_Ready.sql","135","render_jobs","write-or-ddl","render","render_jobs","medium","CREATE INDEX IF NOT EXISTS idx_render_jobs_type_status"
"database\V008_Render_Jobs_Queue_Ready.sql","136","render_jobs","reference","render","render_jobs","low","ON render.render_jobs(job_type, status, priority, queued_at);"
"database\V008_Render_Jobs_Queue_Ready.sql","138","render_job_events","write-or-ddl","render","render_job_events","medium","CREATE INDEX IF NOT EXISTS idx_render_job_events_job_created"
"database\V008_Render_Jobs_Queue_Ready.sql","139","render_job_events","write-or-ddl","render","render_job_events","medium","ON render.render_job_events(job_id, created_at);"
"database\V008_Render_Jobs_Queue_Ready.sql","141","render_job_events","write-or-ddl","render","render_job_events","medium","CREATE INDEX IF NOT EXISTS idx_render_job_events_type"
"database\V008_Render_Jobs_Queue_Ready.sql","142","render_job_events","write-or-ddl","render","render_job_events","medium","ON render.render_job_events(event_type, created_at DESC);"
"database\V008_Render_Jobs_Queue_Ready.sql","144","render_jobs","reference","render","render_jobs","low","COMMENT ON TABLE render.render_jobs IS"
"database\V008_Render_Jobs_Queue_Ready.sql","147","render_jobs","reference","render","render_jobs","low","COMMENT ON COLUMN render.render_jobs.status IS"
"database\V008_Render_Jobs_Queue_Ready.sql","150","render_jobs","reference","render","render_jobs","low","COMMENT ON COLUMN render.render_jobs.point_status IS"
"database\V008_Render_Jobs_Queue_Ready.sql","153","render_job_events","reference","render","render_job_events","low","COMMENT ON TABLE render.render_job_events IS"
"database\V008_Render_Jobs_Queue_Ready.sql","157","render_jobs","read","render","render_jobs","low","SELECT 'V008', 'V008_Render_Jobs_Queue_Ready.sql', 'success', 'Queue-ready render job store + events'"
"database\V004_Sprint2G_AvatarRenders_TokenUsage.sql","6","token_usage_logs","write-or-ddl","render","token_usage_logs","medium","--   billing.token_usage_logs   - per-API-call token consumption ledger (for billing/deduction)"
"database\V004_Sprint2G_AvatarRenders_TokenUsage.sql","32","token_usage_logs","write-or-ddl","render","token_usage_logs","medium","CREATE TABLE IF NOT EXISTS billing.token_usage_logs ("
"database\V004_Sprint2G_AvatarRenders_TokenUsage.sql","52","token_usage_logs","write-or-ddl","render","token_usage_logs","medium","CREATE INDEX IF NOT EXISTS idx_token_usage_customer ON billing.token_usage_logs(customer_id);"
"database\V004_Sprint2G_AvatarRenders_TokenUsage.sql","53","token_usage_logs","write-or-ddl","render","token_usage_logs","medium","CREATE INDEX IF NOT EXISTS idx_token_usage_user ON billing.token_usage_logs(user_id);"
"database\V004_Sprint2G_AvatarRenders_TokenUsage.sql","54","token_usage_logs","write-or-ddl","render","token_usage_logs","medium","CREATE INDEX IF NOT EXISTS idx_token_usage_created ON billing.token_usage_logs(created_at);"
"database\V009_Render_Jobs_Snapshot.sql","1","render_jobs","reference","render","render_jobs","low","-- V009_Render_Jobs_Snapshot.sql"
"database\V009_Render_Jobs_Snapshot.sql","6","render_jobs","write-or-ddl","render","render_jobs","medium","job_id          uuid NOT NULL REFERENCES render.render_jobs(id) ON DELETE CASCADE,"
"database\V009_Render_Jobs_Snapshot.sql","19","render_jobs","read","render","render_jobs","low","SELECT 'V009', 'V009_Render_Jobs_Snapshot.sql', 'success', 'Render job snapshot storage added'"
"database\scene-media-versioning\01_add_scene_media_versioning.sql","21","render_jobs","write-or-ddl","shared","render_jobs","medium","render_job_id uuid NULL REFERENCES render.render_jobs(id) ON DELETE SET NULL,"
"database\scene-media-versioning\01_add_scene_media_versioning.sql","76","render_jobs","write-or-ddl","shared","render_jobs","medium","render_job_id uuid NULL REFERENCES render.render_jobs(id) ON DELETE SET NULL,"
"database\scene-media-versioning\01_add_scene_media_versioning.sql","131","render_jobs","write-or-ddl","shared","render_jobs","medium","render_job_id uuid NULL REFERENCES render.render_jobs(id) ON DELETE SET NULL,"
"database\scene-media-versioning\00_preflight_scene_media_versioning.sql","12","render_jobs","reference","shared","render_jobs","low","('render.render_jobs'),"
"database\scene-media-versioning\00_preflight_scene_media_versioning.sql","27","render_jobs","reference","shared","render_jobs","low","WHERE table_schema='render' AND table_name='render_jobs' AND column_name='id' AND data_type='uuid'"
"database\scene-media-versioning\00_preflight_scene_media_versioning.sql","29","render_jobs","reference","shared","render_jobs","low","RAISE EXCEPTION 'render.render_jobs.id must be uuid.';"
"database\scene-media-versioning\00_preflight_scene_media_versioning.sql","46","render_jobs","reference","shared","render_jobs","low","('render.render_jobs'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","72","token_wallets","reference","yescale","token_wallets","low","('billing.token_wallets'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","73","token_transactions","reference","yescale","token_transactions","low","('billing.token_transactions'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","79","todox_ai_provider","reference","yescale","todox_ai_provider","low","('public.todox_ai_provider'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","80","todox_ai_provider","reference","yescale","todox_ai_provider","low","('public.todox_ai_provider_capability'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","80","todox_ai_provider_capability","reference","yescale","todox_ai_provider_capability","low","('public.todox_ai_provider_capability'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","81","ai_image_billing_records","reference","yescale","billing.ai_billing_records","high","('billing.ai_image_billing_records'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","82","ai_image_provider_attempts","reference","yescale","billing.ai_provider_attempts","high","('billing.ai_image_provider_attempts'),"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","88","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","94","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","94","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","100","token_wallets","read","yescale","token_wallets","low","FROM billing.token_wallets"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","114","ai_image_billing_records","read","yescale","billing.ai_billing_records","high","FROM billing.ai_image_billing_records"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","120","todox_ai_provider","read","yescale","todox_ai_provider","low","SELECT 1 FROM public.todox_ai_provider"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","124","todox_ai_provider","read","yescale","todox_ai_provider","low","SELECT count(*) FROM public.todox_ai_provider_capability"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","124","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","SELECT count(*) FROM public.todox_ai_provider_capability"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","130","token_wallets","read","yescale","token_wallets","low","SELECT 1 FROM billing.token_wallets"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","134","ai_image_billing_records","read","yescale","billing.ai_billing_records","high","SELECT 1 FROM billing.ai_image_billing_records"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","159","token_wallets","reference","yescale","token_wallets","low","'billing.token_wallets', 'billing.token_transactions', 'system.app_settings', 'system.tenants',"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","159","token_transactions","reference","yescale","token_transactions","low","'billing.token_wallets', 'billing.token_transactions', 'system.app_settings', 'system.tenants',"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","161","todox_ai_provider","reference","yescale","todox_ai_provider","low","'public.todox_ai_provider', 'public.todox_ai_provider_capability'"
"database\yescale-image-demo\yescale_image_database_check_update.ps1","161","todox_ai_provider_capability","reference","yescale","todox_ai_provider_capability","low","'public.todox_ai_provider', 'public.todox_ai_provider_capability'"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","23","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","33","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","33","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","44","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","44","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","56","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","56","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","67","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","67","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","79","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","79","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","89","todox_ai_provider","read","yescale","todox_ai_provider","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","89","todox_ai_provider_capability","read","yescale","todox_ai_provider_capability","low","FROM public.todox_ai_provider_capability"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","101","ai_image_billing_records","reference","yescale","billing.ai_billing_records","high","('billing.ai_image_billing_records'),"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","102","ai_image_provider_attempts","reference","yescale","billing.ai_provider_attempts","high","('billing.ai_image_provider_attempts')"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","113","token_wallets","reference","yescale","token_wallets","low","('token_wallets','wallet_scope'),"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","114","token_wallets","reference","yescale","token_wallets","low","('token_wallets','wallet_code'),"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","115","token_wallets","reference","yescale","token_wallets","low","('token_wallets','overdraft_limit'),"
"database\yescale-image-production-phase1-sql-v2-fixed\yescale-image-production-phase1-sql-v2-fixed\verify_yescale_image_demo.sql","116","ai_image_billing_records","reference","yescale","billing.ai_billing_records","high","('ai_image_billing_records','payer_type'),"
